Disease,Symptom_1,Symptom_2,Symptom_3,Symptom_4,Symptom_5,Symptom_6,Symptom_7,Symptom_8,Symptom_9,Symptom_10,Symptom_11,Symptom_12,Symptom_13,Symptom_14,Symptom_15,Symptom_16,Symptom_17
Drug Reaction,burning_micturition,itching,skin_rash,vomiting,,,,,,,,,,,,,
Drug Reaction,burning_micturition,skin_rash,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,burning_micturition,itching,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,vomiting,stomach_pain,,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,itching,vomiting,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,vomiting,skin_rash,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,vomiting,burning_micturition,,,,,,,,,,,,,,
Drug Reaction,vomiting,burning_micturition,skin_rash,stomach_pain,,,,,,,,,,,,,
Drug Reaction,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,skin_rash,,,,,,,,,,,,,,
Drug Reaction,skin_rash,itching,,,,,,,,,,,,,,,
Drug Reaction,skin_rash,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,,,,,,,,,,,,,,,
Drug Reaction,vomiting,itching,stomach_pain,skin_rash,,,,,,,,,,,,,
Drug Reaction,itching,vomiting,burning_micturition,skin_rash,stomach_pain,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,vomiting,burning_micturition,stomach_pain,skin_rash,itching,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,itching,burning_micturition,,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,vomiting,skin_rash,,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,burning_micturition,skin_rash,vomiting,,,,,,,,,,,,
Drug Reaction,burning_micturition,skin_rash,vomiting,stomach_pain,itching,,,,,,,,,,,,
Drug Reaction,itching,vomiting,burning_micturition,,,,,,,,,,,,,,
Drug Reaction,itching,vomiting,skin_rash,stomach_pain,burning_micturition,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,vomiting,burning_micturition,itching,skin_rash,,,,,,,,,,,,
Drug Reaction,stomach_pain,itching,skin_rash,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,vomiting,,,,,,,,,,,,,,,
Drug Reaction,skin_rash,burning_micturition,vomiting,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,skin_rash,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,skin_rash,burning_micturition,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,burning_micturition,vomiting,skin_rash,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,,,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,skin_rash,vomiting,,,,,,,,,,,,,
Drug Reaction,stomach_pain,itching,vomiting,burning_micturition,,,,,,,,,,,,,
Drug Reaction,burning_micturition,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,skin_rash,itching,,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,itching,burning_micturition,vomiting,,,,,,,,,,,,,
Drug Reaction,stomach_pain,vomiting,itching,,,,,,,,,,,,,,
Drug Reaction,skin_rash,vomiting,,,,,,,,,,,,,,,
Drug Reaction,skin_rash,burning_micturition,itching,vomiting,,,,,,,,,,,,,
Drug Reaction,itching,vomiting,stomach_pain,burning_micturition,,,,,,,,,,,,,
Drug Reaction,skin_rash,burning_micturition,,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,skin_rash,itching,,,,,,,,,,,,,,
Drug Reaction,vomiting,itching,skin_rash,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,skin_rash,itching,vomiting,,,,,,,,,,,,,
Drug Reaction,skin_rash,stomach_pain,vomiting,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,skin_rash,stomach_pain,vomiting,,,,,,,,,,,,
Drug Reaction,skin_rash,itching,stomach_pain,vomiting,burning_micturition,,,,,,,,,,,,
Drug Reaction,stomach_pain,itching,burning_micturition,,,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,,,,,,,,,,,,,,,
Drug Reaction,itching,burning_micturition,vomiting,stomach_pain,skin_rash,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,itching,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,burning_micturition,,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,stomach_pain,skin_rash,vomiting,itching,,,,,,,,,,,,
Drug Reaction,burning_micturition,stomach_pain,skin_rash,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,vomiting,,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,vomiting,burning_micturition,skin_rash,,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,vomiting,skin_rash,stomach_pain,,,,,,,,,,,,
Drug Reaction,burning_micturition,itching,,,,,,,,,,,,,,,
Drug Reaction,vomiting,skin_rash,stomach_pain,itching,,,,,,,,,,,,,
Drug Reaction,skin_rash,stomach_pain,vomiting,itching,,,,,,,,,,,,,
Drug Reaction,stomach_pain,vomiting,burning_micturition,itching,skin_rash,,,,,,,,,,,,
Drug Reaction,vomiting,burning_micturition,stomach_pain,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,stomach_pain,itching,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,burning_micturition,,,,,,,,,,,,,,,
Drug Reaction,vomiting,stomach_pain,itching,,,,,,,,,,,,,,
Drug Reaction,vomiting,itching,stomach_pain,burning_micturition,skin_rash,,,,,,,,,,,,
Drug Reaction,stomach_pain,burning_micturition,,,,,,,,,,,,,,,
Drug Reaction,itching,stomach_pain,,,,,,,,,,,,,,,
Drug Reaction,itching,burning_micturition,skin_rash,,,,,,,,,,,,,,
Drug Reaction,itching,vomiting,,,,,,,,,,,,,,,
Drug Reaction,vomiting,burning_micturition,,,,,,,,,,,,,,,
Drug Reaction,vomiting,burning_micturition,itching,,,,,,,,,,,,,,
Drug Reaction,itching,skin_rash,vomiting,,,,,,,,,,,,,,
Drug Reaction,itching,burning_micturition,stomach_pain,vomiting,skin_rash,,,,,,,,,,,,
Drug Reaction,skin_rash,vomiting,burning_micturition,,,,,,,,,,,,,,
Drug Reaction,burning_micturition,stomach_pain,itching,vomiting,skin_rash,,,,,,,,,,,,
Drug Reaction,vomiting,burning_micturition,itching,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,vomiting,burning_micturition,,,,,,,,,,,,,,
Drug Reaction,stomach_pain,vomiting,skin_rash,,,,,,,,,,,,,,
Malaria,sweating,high_fever,muscle_pain,nausea,chills,diarrhoea,headache,,,,,,,,,,
Malaria,muscle_pain,nausea,vomiting,diarrhoea,chills,headache,,,,,,,,,,,
Malaria,nausea,headache,sweating,diarrhoea,chills,muscle_pain,vomiting,high_fever,,,,,,,,,
Malaria,muscle_pain,sweating,chills,high_fever,headache,,,,,,,,,,,,
Malaria,muscle_pain,headache,nausea,diarrhoea,vomiting,sweating,chills,high_fever,,,,,,,,,
Malaria,diarrhoea,chills,sweating,high_fever,nausea,headache,muscle_pain,vomiting,,,,,,,,,
Malaria,chills,sweating,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,,
Malaria,high_fever,muscle_pain,sweating,vomiting,chills,headache,diarrhoea,nausea,,,,,,,,,
Malaria,diarrhoea,high_fever,muscle_pain,sweating,nausea,vomiting,,,,,,,,,,,
Malaria,vomiting,sweating,chills,headache,nausea,diarrhoea,muscle_pain,,,,,,,,,,
Malaria,chills,muscle_pain,diarrhoea,vomiting,headache,,,,,,,,,,,,
Malaria,high_fever,vomiting,muscle_pain,sweating,chills,,,,,,,,,,,,
Malaria,diarrhoea,nausea,high_fever,muscle_pain,vomiting,headache,,,,,,,,,,,
Malaria,high_fever,diarrhoea,chills,headache,nausea,,,,,,,,,,,,
Malaria,muscle_pain,sweating,nausea,vomiting,chills,high_fever,diarrhoea,,,,,,,,,,
Malaria,headache,muscle_pain,nausea,diarrhoea,chills,,,,,,,,,,,,
Malaria,nausea,headache,sweating,high_fever,chills,,,,,,,,,,,,
Malaria,chills,muscle_pain,sweating,nausea,diarrhoea,vomiting,high_fever,,,,,,,,,,
Malaria,high_fever,sweating,vomiting,headache,diarrhoea,muscle_pain,nausea,chills,,,,,,,,,
Malaria,headache,high_fever,vomiting,chills,muscle_pain,nausea,diarrhoea,sweating,,,,,,,,,
Malaria,nausea,chills,sweating,high_fever,vomiting,diarrhoea,muscle_pain,headache,,,,,,,,,
Malaria,nausea,high_fever,headache,muscle_pain,chills,diarrhoea,sweating,,,,,,,,,,
Malaria,sweating,nausea,diarrhoea,muscle_pain,vomiting,,,,,,,,,,,,
Malaria,diarrhoea,sweating,chills,nausea,high_fever,headache,vomiting,muscle_pain,,,,,,,,,
Malaria,nausea,sweating,headache,diarrhoea,high_fever,vomiting,muscle_pain,,,,,,,,,,
Malaria,diarrhoea,high_fever,muscle_pain,nausea,vomiting,chills,headache,,,,,,,,,,
Malaria,vomiting,nausea,headache,diarrhoea,muscle_pain,chills,sweating,,,,,,,,,,
Malaria,headache,chills,vomiting,high_fever,nausea,sweating,muscle_pain,,,,,,,,,,
Malaria,chills,nausea,headache,vomiting,high_fever,diarrhoea,sweating,,,,,,,,,,
Malaria,high_fever,nausea,sweating,chills,headache,diarrhoea,vomiting,,,,,,,,,,
Malaria,diarrhoea,sweating,high_fever,vomiting,chills,headache,nausea,muscle_pain,,,,,,,,,
Malaria,muscle_pain,sweating,chills,headache,nausea,,,,,,,,,,,,
Malaria,high_fever,muscle_pain,headache,diarrhoea,chills,sweating,,,,,,,,,,,
Malaria,muscle_pain,headache,diarrhoea,nausea,vomiting,,,,,,,,,,,,
Malaria,diarrhoea,sweating,high_fever,headache,muscle_pain,vomiting,chills,nausea,,,,,,,,,
Malaria,sweating,high_fever,nausea,chills,vomiting,headache,,,,,,,,,,,
Malaria,vomiting,diarrhoea,chills,sweating,headache,high_fever,,,,,,,,,,,
Malaria,headache,chills,vomiting,high_fever,diarrhoea,sweating,nausea,muscle_pain,,,,,,,,,
Malaria,headache,muscle_pain,nausea,diarrhoea,vomiting,sweating,,,,,,,,,,,
Malaria,sweating,nausea,vomiting,high_fever,muscle_pain,,,,,,,,,,,,
Malaria,chills,vomiting,high_fever,headache,nausea,,,,,,,,,,,,
Malaria,vomiting,sweating,nausea,high_fever,muscle_pain,diarrhoea,headache,chills,,,,,,,,,
Malaria,chills,sweating,nausea,high_fever,headache,,,,,,,,,,,,
Malaria,vomiting,diarrhoea,nausea,headache,chills,,,,,,,,,,,,
Malaria,chills,muscle_pain,vomiting,sweating,headache,nausea,diarrhoea,,,,,,,,,,
Malaria,diarrhoea,chills,sweating,high_fever,nausea,vomiting,headache,muscle_pain,,,,,,,,,
Malaria,nausea,sweating,diarrhoea,muscle_pain,high_fever,headache,,,,,,,,,,,
Malaria,chills,sweating,diarrhoea,high_fever,headache,vomiting,nausea,muscle_pain,,,,,,,,,
Malaria,diarrhoea,sweating,chills,vomiting,high_fever,,,,,,,,,,,,
Malaria,diarrhoea,muscle_pain,chills,vomiting,high_fever,sweating,nausea,headache,,,,,,,,,
Malaria,diarrhoea,chills,muscle_pain,headache,vomiting,high_fever,nausea,sweating,,,,,,,,,
Malaria,muscle_pain,chills,vomiting,diarrhoea,sweating,,,,,,,,,,,,
Malaria,high_fever,sweating,nausea,diarrhoea,headache,,,,,,,,,,,,
Malaria,diarrhoea,sweating,vomiting,muscle_pain,nausea,headache,chills,high_fever,,,,,,,,,
Malaria,headache,muscle_pain,sweating,high_fever,diarrhoea,,,,,,,,,,,,
Malaria,headache,nausea,high_fever,diarrhoea,sweating,,,,,,,,,,,,
Malaria,diarrhoea,headache,sweating,high_fever,muscle_pain,nausea,,,,,,,,,,,
Malaria,diarrhoea,high_fever,vomiting,nausea,sweating,chills,headache,muscle_pain,,,,,,,,,
Malaria,diarrhoea,nausea,sweating,muscle_pain,vomiting,headache,chills,,,,,,,,,,
Malaria,nausea,muscle_pain,chills,sweating,diarrhoea,high_fever,,,,,,,,,,,
Malaria,chills,nausea,vomiting,sweating,muscle_pain,diarrhoea,headache,high_fever,,,,,,,,,
Malaria,muscle_pain,nausea,chills,high_fever,sweating,vomiting,headache,,,,,,,,,,
Malaria,vomiting,diarrhoea,nausea,high_fever,muscle_pain,,,,,,,,,,,,
Malaria,muscle_pain,chills,nausea,diarrhoea,sweating,,,,,,,,,,,,
Malaria,headache,chills,muscle_pain,high_fever,nausea,vomiting,,,,,,,,,,,
Malaria,nausea,sweating,vomiting,diarrhoea,muscle_pain,high_fever,chills,,,,,,,,,,
Malaria,high_fever,chills,headache,sweating,vomiting,nausea,,,,,,,,,,,
Malaria,sweating,diarrhoea,nausea,high_fever,muscle_pain,vomiting,,,,,,,,,,,
Malaria,diarrhoea,high_fever,nausea,headache,vomiting,,,,,,,,,,,,
Malaria,diarrhoea,high_fever,headache,muscle_pain,sweating,,,,,,,,,,,,
Malaria,diarrhoea,muscle_pain,high_fever,vomiting,sweating,headache,chills,,,,,,,,,,
Malaria,muscle_pain,headache,high_fever,diarrhoea,nausea,sweating,,,,,,,,,,,
Malaria,chills,muscle_pain,nausea,sweating,high_fever,diarrhoea,headache,,,,,,,,,,
Malaria,headache,muscle_pain,vomiting,diarrhoea,high_fever,chills,sweating,nausea,,,,,,,,,
Malaria,vomiting,nausea,muscle_pain,chills,high_fever,diarrhoea,,,,,,,,,,,
Malaria,nausea,diarrhoea,vomiting,chills,high_fever,,,,,,,,,,,,
Malaria,muscle_pain,vomiting,diarrhoea,nausea,high_fever,sweating,headache,,,,,,,,,,
Malaria,headache,muscle_pain,sweating,high_fever,diarrhoea,chills,,,,,,,,,,,
Malaria,vomiting,diarrhoea,muscle_pain,sweating,high_fever,chills,nausea,headache,,,,,,,,,
Malaria,vomiting,sweating,high_fever,nausea,muscle_pain,headache,diarrhoea,,,,,,,,,,
Malaria,sweating,diarrhoea,chills,headache,high_fever,,,,,,,,,,,,
Malaria,vomiting,nausea,sweating,high_fever,muscle_pain,chills,,,,,,,,,,,
Malaria,chills,diarrhoea,high_fever,sweating,muscle_pain,headache,,,,,,,,,,,
Malaria,high_fever,sweating,muscle_pain,diarrhoea,nausea,headache,,,,,,,,,,,
Malaria,muscle_pain,nausea,chills,sweating,headache,vomiting,,,,,,,,,,,
Malaria,nausea,vomiting,sweating,diarrhoea,muscle_pain,,,,,,,,,,,,
Malaria,vomiting,nausea,high_fever,headache,muscle_pain,chills,diarrhoea,,,,,,,,,,
Malaria,sweating,chills,diarrhoea,muscle_pain,vomiting,high_fever,headache,,,,,,,,,,
Malaria,nausea,vomiting,muscle_pain,headache,diarrhoea,,,,,,,,,,,,
Malaria,sweating,headache,vomiting,nausea,high_fever,,,,,,,,,,,,
Malaria,chills,high_fever,vomiting,nausea,muscle_pain,diarrhoea,,,,,,,,,,,
Malaria,chills,vomiting,diarrhoea,high_fever,muscle_pain,,,,,,,,,,,,
Malaria,chills,vomiting,high_fever,diarrhoea,muscle_pain,nausea,sweating,,,,,,,,,,
Malaria,vomiting,sweating,muscle_pain,high_fever,chills,,,,,,,,,,,,
Malaria,sweating,headache,chills,muscle_pain,high_fever,vomiting,nausea,diarrhoea,,,,,,,,,
Malaria,muscle_pain,sweating,nausea,chills,diarrhoea,high_fever,vomiting,headache,,,,,,,,,
Malaria,nausea,headache,vomiting,chills,diarrhoea,,,,,,,,,,,,
Malaria,nausea,sweating,headache,diarrhoea,high_fever,vomiting,muscle_pain,,,,,,,,,,
Malaria,vomiting,muscle_pain,nausea,headache,diarrhoea,,,,,,,,,,,,
Malaria,diarrhoea,vomiting,sweating,high_fever,nausea,muscle_pain,headache,chills,,,,,,,,,
Malaria,muscle_pain,high_fever,nausea,diarrhoea,headache,chills,vomiting,,,,,,,,,,
Malaria,vomiting,muscle_pain,chills,nausea,sweating,,,,,,,,,,,,
Malaria,nausea,muscle_pain,vomiting,headache,chills,,,,,,,,,,,,
Malaria,vomiting,sweating,high_fever,muscle_pain,chills,diarrhoea,nausea,,,,,,,,,,
Malaria,vomiting,headache,muscle_pain,diarrhoea,nausea,high_fever,sweating,,,,,,,,,,
Malaria,vomiting,high_fever,headache,muscle_pain,chills,diarrhoea,,,,,,,,,,,
Malaria,muscle_pain,diarrhoea,headache,nausea,chills,high_fever,,,,,,,,,,,
Malaria,chills,vomiting,high_fever,nausea,headache,muscle_pain,diarrhoea,,,,,,,,,,
Malaria,high_fever,headache,nausea,sweating,chills,muscle_pain,,,,,,,,,,,
Malaria,vomiting,nausea,headache,diarrhoea,sweating,,,,,,,,,,,,
Malaria,diarrhoea,high_fever,vomiting,muscle_pain,headache,sweating,nausea,chills,,,,,,,,,
Malaria,high_fever,vomiting,headache,chills,nausea,,,,,,,,,,,,
Malaria,diarrhoea,nausea,sweating,muscle_pain,headache,vomiting,high_fever,,,,,,,,,,
Malaria,vomiting,high_fever,sweating,chills,muscle_pain,nausea,,,,,,,,,,,
Malaria,headache,chills,vomiting,sweating,muscle_pain,diarrhoea,high_fever,nausea,,,,,,,,,
Malaria,high_fever,muscle_pain,diarrhoea,nausea,headache,chills,,,,,,,,,,,
Malaria,diarrhoea,nausea,sweating,vomiting,headache,,,,,,,,,,,,
Malaria,sweating,headache,muscle_pain,high_fever,chills,vomiting,diarrhoea,nausea,,,,,,,,,
Malaria,diarrhoea,chills,high_fever,headache,sweating,,,,,,,,,,,,
Malaria,muscle_pain,high_fever,chills,sweating,nausea,vomiting,headache,diarrhoea,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,redness_of_eyes,runny_nose,shivering,,,,,,,,,,,,
Allergy,runny_nose,continuous_sneezing,watering_from_eyes,shivering,chills,redness_of_eyes,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,runny_nose,chills,watering_from_eyes,,,,,,,,,,,,
Allergy,chills,shivering,runny_nose,continuous_sneezing,redness_of_eyes,,,,,,,,,,,,
Allergy,shivering,redness_of_eyes,runny_nose,chills,continuous_sneezing,,,,,,,,,,,,
Allergy,redness_of_eyes,watering_from_eyes,runny_nose,chills,,,,,,,,,,,,,
Allergy,redness_of_eyes,runny_nose,chills,watering_from_eyes,shivering,continuous_sneezing,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,runny_nose,chills,shivering,redness_of_eyes,,,,,,,,,,,
Allergy,chills,runny_nose,continuous_sneezing,,,,,,,,,,,,,,
Allergy,watering_from_eyes,redness_of_eyes,continuous_sneezing,runny_nose,shivering,,,,,,,,,,,,
Allergy,continuous_sneezing,redness_of_eyes,watering_from_eyes,shivering,runny_nose,,,,,,,,,,,,
Allergy,runny_nose,shivering,chills,watering_from_eyes,redness_of_eyes,continuous_sneezing,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,,,
Allergy,runny_nose,shivering,continuous_sneezing,,,,,,,,,,,,,,
Allergy,redness_of_eyes,watering_from_eyes,runny_nose,chills,,,,,,,,,,,,,
Allergy,chills,redness_of_eyes,runny_nose,shivering,,,,,,,,,,,,,
Allergy,chills,runny_nose,continuous_sneezing,redness_of_eyes,shivering,watering_from_eyes,,,,,,,,,,,
Allergy,continuous_sneezing,runny_nose,watering_from_eyes,shivering,chills,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,shivering,watering_from_eyes,,,,,,,,,,,,,
Allergy,redness_of_eyes,watering_from_eyes,shivering,chills,continuous_sneezing,,,,,,,,,,,,
Allergy,runny_nose,watering_from_eyes,chills,continuous_sneezing,redness_of_eyes,,,,,,,,,,,,
Allergy,runny_nose,chills,continuous_sneezing,shivering,redness_of_eyes,watering_from_eyes,,,,,,,,,,,
Allergy,chills,watering_from_eyes,shivering,continuous_sneezing,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,chills,runny_nose,,,,,,,,,,,,,
Allergy,redness_of_eyes,chills,shivering,,,,,,,,,,,,,,
Allergy,shivering,redness_of_eyes,runny_nose,chills,continuous_sneezing,watering_from_eyes,,,,,,,,,,,
Allergy,watering_from_eyes,chills,shivering,,,,,,,,,,,,,,
Allergy,runny_nose,chills,watering_from_eyes,continuous_sneezing,redness_of_eyes,shivering,,,,,,,,,,,
Allergy,shivering,chills,watering_from_eyes,redness_of_eyes,runny_nose,continuous_sneezing,,,,,,,,,,,
Allergy,shivering,redness_of_eyes,runny_nose,watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,
Allergy,runny_nose,continuous_sneezing,redness_of_eyes,shivering,watering_from_eyes,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,shivering,runny_nose,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,chills,,,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,redness_of_eyes,,,,,,,,,,,,,,
Allergy,shivering,watering_from_eyes,continuous_sneezing,redness_of_eyes,runny_nose,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,redness_of_eyes,,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,chills,redness_of_eyes,,,,,,,,,,,,,
Allergy,redness_of_eyes,watering_from_eyes,runny_nose,chills,,,,,,,,,,,,,
Allergy,continuous_sneezing,redness_of_eyes,chills,,,,,,,,,,,,,,
Allergy,shivering,runny_nose,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,
Allergy,shivering,chills,continuous_sneezing,watering_from_eyes,runny_nose,,,,,,,,,,,,
Allergy,redness_of_eyes,runny_nose,watering_from_eyes,continuous_sneezing,chills,shivering,,,,,,,,,,,
Allergy,redness_of_eyes,runny_nose,shivering,,,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,continuous_sneezing,redness_of_eyes,,,,,,,,,,,,,
Allergy,shivering,runny_nose,watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,
Allergy,continuous_sneezing,runny_nose,redness_of_eyes,shivering,chills,,,,,,,,,,,,
Allergy,redness_of_eyes,watering_from_eyes,chills,,,,,,,,,,,,,,
Allergy,redness_of_eyes,continuous_sneezing,chills,runny_nose,shivering,,,,,,,,,,,,
Allergy,redness_of_eyes,continuous_sneezing,chills,runny_nose,,,,,,,,,,,,,
Allergy,chills,runny_nose,redness_of_eyes,,,,,,,,,,,,,,
Allergy,redness_of_eyes,watering_from_eyes,runny_nose,chills,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,watering_from_eyes,runny_nose,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,redness_of_eyes,runny_nose,watering_from_eyes,,,,,,,,,,,,
Allergy,runny_nose,watering_from_eyes,redness_of_eyes,shivering,continuous_sneezing,,,,,,,,,,,,
Allergy,chills,redness_of_eyes,continuous_sneezing,runny_nose,,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,redness_of_eyes,shivering,watering_from_eyes,,,,,,,,,,,,
Allergy,watering_from_eyes,chills,shivering,redness_of_eyes,runny_nose,continuous_sneezing,,,,,,,,,,,
Allergy,continuous_sneezing,watering_from_eyes,redness_of_eyes,shivering,runny_nose,,,,,,,,,,,,
Allergy,chills,continuous_sneezing,runny_nose,shivering,redness_of_eyes,,,,,,,,,,,,
Allergy,watering_from_eyes,runny_nose,redness_of_eyes,continuous_sneezing,shivering,,,,,,,,,,,,
Allergy,watering_from_eyes,continuous_sneezing,chills,redness_of_eyes,shivering,,,,,,,,,,,,
Allergy,redness_of_eyes,continuous_sneezing,runny_nose,chills,shivering,,,,,,,,,,,,
Allergy,runny_nose,shivering,continuous_sneezing,watering_from_eyes,redness_of_eyes,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,redness_of_eyes,,,,,,,,,,,,,,
Allergy,chills,watering_from_eyes,continuous_sneezing,redness_of_eyes,runny_nose,,,,,,,,,,,,
Allergy,chills,redness_of_eyes,watering_from_eyes,continuous_sneezing,runny_nose,shivering,,,,,,,,,,,
Allergy,chills,redness_of_eyes,shivering,continuous_sneezing,runny_nose,watering_from_eyes,,,,,,,,,,,
Allergy,runny_nose,watering_from_eyes,continuous_sneezing,shivering,chills,redness_of_eyes,,,,,,,,,,,
Allergy,runny_nose,chills,watering_from_eyes,continuous_sneezing,,,,,,,,,,,,,
Allergy,shivering,continuous_sneezing,watering_from_eyes,,,,,,,,,,,,,,
Allergy,redness_of_eyes,watering_from_eyes,continuous_sneezing,chills,,,,,,,,,,,,,
